item_name,station,day_served,meal_time,calories,contains_eggs,contains_fish,contains_milk,contains_peanuts,contains_shellfish,contains_soy,contains_treenuts,contains_wheat,is_gluten_free,is_halal,is_kosher,is_locally_grown,is_organic,is_vegan,is_vegetarian
peanut butter cookie,dtg,wednesday,dinner,120,True,False,True,True,False,True,False,True,False,,True,False,False,False,True
signature chips,green st. deli,wednesday,dinner,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
shrimp po' boy,green st. lto,wednesday,dinner,500,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
chicken tenders and fries,ignite grill,wednesday,dinner,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,wednesday,dinner,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,wednesday,dinner,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
chicken cheesesteak,ignite grill,wednesday,dinner,450,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
grilled herb chicken sandwich,ignite grill,wednesday,dinner,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
crispy shoestring french fries,ignite grill,wednesday,dinner,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
crispy chicken nuggets,ignite lto,wednesday,dinner,300,,,,,,,,True,False,,,False,False,False,False
grilled cheese sandwich,green st. panini,wednesday,dinner,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
ham & swiss panini,green st. panini,wednesday,dinner,320,,,,,,,,,,,,False,False,False,False
"melt, chicken, bacon, swiss, chipotle honey, flatbread, wg",green st. panini,wednesday,dinner,640,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
pork carnitas quesadilla,green st. panini,wednesday,dinner,520,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,wednesday,dinner,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
cranberry-pecan mixed grains,uc veg hand held,wednesday,dinner,160,False,False,False,False,False,False,True,True,False,False,,False,False,True,True
blanched cauliflower,uc veg hand held,wednesday,dinner,15,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
blanched fresh kale,uc veg hand held,wednesday,dinner,10,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
five spice veggie quinoa bowl,uc veg hot,wednesday,dinner,240,False,False,False,False,False,True,False,True,False,False,,False,False,True,True
banana berry nutella(r) toast,uc veg lto,wednesday,dinner,510,False,False,True,False,False,True,True,True,False,,,False,False,False,True
grilled veg & hummus pita,uc veg lto,wednesday,dinner,370,,,,,,,,,,,,False,False,False,True
vegan kale caesar salad,uc veg salad bar,wednesday,dinner,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,wednesday,dinner,310,,,,,,,,,,,,False,False,False,True
marinated green beans & tomato,uc veg salad bar,wednesday,dinner,45,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
rice noodles,uc veg soup,wednesday,dinner,210,,,,,,,,,,,,False,False,True,True
broccoli soup,uc veg soup,wednesday,dinner,120,False,False,False,False,False,False,False,True,False,,,False,False,True,True
korean vegetable broth,uc veg soup,wednesday,dinner,5,,,,,,,,,,,,False,False,True,True
cheeseburger mac & cheese bowl,vespa lto,wednesday,dinner,640,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
garlic herb breadstick,vespa pasta,wednesday,dinner,180,True,False,True,False,False,True,False,True,False,,,False,False,False,True
bacon-cauliflower flatbread,vespa pizza,wednesday,dinner,500,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
classic cheese pizza,vespa pizza,wednesday,dinner,250,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
pepperoni pizza,vespa pizza,wednesday,dinner,280,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
pepperoni melt,vespa pizza,wednesday,dinner,340,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
belgian waffle,dtg,thursday,dinner,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
red velvet cupcake,dtg,thursday,dinner,160,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
sugar cookie,dtg,thursday,dinner,120,True,False,True,False,False,True,False,True,False,,True,False,False,False,True
cherry cheesecake tart,dtg,thursday,dinner,170,,,,,,,,,,,,False,False,False,True
signature chips,green st. deli,thursday,dinner,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
maple chipotle blt,green st. lto,thursday,dinner,350,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
chicken tenders and fries,ignite grill,thursday,dinner,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,thursday,dinner,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,thursday,dinner,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
chicken cheesesteak,ignite grill,thursday,dinner,450,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
